candidate_control_labels,candidate_perturbation_columns,cell_line_type_columns,combination_support,condition_timepoint_batch_columns,dataset_id,eligible_common_core,eligible_context_expansion,eligible_external,filename,metadata_completeness_flags,n_controls,n_obs,n_unique_perturbations,n_vars,obs_columns,perturbation_modality,primary_perturbation_column,size_bytes,source_study
APLP2_chr1:231182601-231182624_chr12:57381970-57381993_chr22:27028440-27028463_chr6:111141083-111141106_pos_control_HBE1_tss_Klann_mosaic;ARID1A_pos_control_HBE1_tss_Klann_mosaic;ARL5A_chr16:10594883-10594906_chr17:31221245-31221268_chr6:164281482-164281505_pos_control_KlannHS2g_HS2_A;ASAH1_chr7:99404651-99404674_pos_control_KlannHS2g_HS2_B_PSMG1_UAP1;ATPIF1_chr12:125369241-125369264_pos_control_Klannchr1_HBG1_HBG1_tss_both;BEX4_C1orf52_chr11:59312471-59312494_chr1:201535977-201536000_chr1:202074787-202074810_chr20:39620035-39620058_chr5:61557406-61557429_chr6:42165185-42165208_chr8:102165939-102165962_chr8:102167031-102167054_pos_control_HBE1_tss_Klann_mosaic_RPL29_TMEM14C_TMEM165;BEX4_chr11:33963092-33963115_chr17:25730492-25730515_chr3:107823097-107823120_NSL1_pos_control_KlannHS2g_HS2_A;BTF3L4_chr11:60931725-60931748_chr1:234690528-234690551_chr16:23796060-23796083_chr18:57585606-57585629_chr7:23513484-23513507_GTF3A_LUC7L2_POLR3GL_pos_control_HS2_Klann_mosaic;BTF3L4_chr1:225632512-225632535_NDUFA2_pos_control_HBE1_tss_Klann_mosaic_SUMO3_TOP1;C21orf59_chr10:72378980-72379003_chr4:186037015-186037038_chr5:34587577-34587600_NCBP2_pos_control_KlannHS2g_HS2_A_RPL39L;CCT5_pos_control_HBE1_tss_Klann_mosaic_SH3BGRL3;CD47_chr10:70821228-70821251_chr17:27192091-27192114_chr4:159968683-159968706_chr8:124178462-124178485_pos_control_HS2_Klann_mosaic;CD47_chr10:72409219-72409242_chr1:27110423-27110446_chr16:10715795-10715818_chr20:56023768-56023791_chr21:45187704-45187727_chr6:144536589-144536612_chr6:30464093-30464116_MYL12A_pos_control_Klannchr1_HBG1_HBG1_tss_both_RNF138_UAP1;CD47_chr10:94588743-94588766_chr11:10756973-10756996_chr1:114623174-114623197_chr11:33933860-33933883_chr11:34448894-34448917_chr11:61636786-61636809_chr18:55487192-55487215_chr20:30198326-30198349_chr21:44350159-44350182_chr6:111260715-111260738_CNIH4_NXT1_pos_control_HBE1_tss_Klann_mosaic_TMEM242;CEBPB_chr11:33958518-33958541_chr5:141675570-141675593_pos_control_KlannHS2g_HS2_B;CRIPT_pos_control_HBE1_tss_Klann_mosaic;EEF1A1_pos_control_Klannchr_HS1;EWSR1_pos_control_HBE1_tss_Klann_mosaic;KRT18_pos_control_HBE1_tss_Klann_mosaic;LSM5_pos_control_Klannchr1_HBG1_HBG1_tss_both;LYPLA1_pos_control_Klannchr1_HS3;MAN1A1_pos_control_HBE1_tss_Klann_mosaic;MRPS16_pos_control_HBE1_tss_Klann_mosaic_XPO1;NDFIP1_pos_control_HS2_Klann_mosaic;NMU_pos_control_HS2_Klann_mosaic_RPL21;chr10:12097811-12097834_chr13:27596749-27596772_chr6:117975106-117975129_pos_control_HS2_Klann_mosaic;chr10:22422742-22422765_chr22:43499951-43499974_pos_control_HS2_Klann_mosaic;chr10:72409219-72409242_chr1:51442612-51442635_pos_control_Klannchr1_HBG1_HBG1_tss_both_RNF7;chr10:74057016-74057039_pos_control_KlannHS2g_HS2_B;chr10:74068071-74068094_chr11:33933860-33933883_chr11:75245269-75245292_chr1:28576013-28576036_chr16:23746552-23746575_chr17:46569809-46569832_chr20:56007822-56007845_chr3:196326623-196326646_MRPS35_pos_control_Klannchr_HS1_PSMG4_SAT1_TSPO;chr10:74076746-74076769_chrX:23817660-23817683_CUTA_pos_control_KlannHS2g_HS2_A;chr10:92863157-92863180_chr20:23174712-23174735_chr3:156319251-156319274_MAN1A1_pos_control_KlannHS2g_HS2_B_SERPINB1;chr10:94513656-94513679_chr1:161591145-161591168_chr8:101993454-101993477_pos_control_HS2_Klann_mosaic;chr11:33963092-33963115_chr11:75269992-75270015_chr1:234634692-234634715_chr15:96472532-96472555_chr17:31237872-31237895_chr17:55928660-55928683_chr19:15955340-15955363_chr7:5613818-5613841_chr8:102167031-102167054_pos_control_HBE1_tss_Klann_mosaic_RNF2;chr11:34621715-34621738_chr1:201987385-201987408_chr1:234835810-234835833_pos_control_KlannHS2g_HS2_A;chr11:74742242-74742265_chr6:139839755-139839778_pos_control_mosaic_HB_HBE1_tss_B;chr11:85845654-85845677_COX6A1_pos_control_KlannHS2g_HS2_A_VDAC1;chr11:85862307-85862330_chr16:23796060-23796083_chr2:171829555-171829578_chr5:10317967-10317990_pos_control_mosaic_HB_HBE1_tss_A;chr11:85885520-85885543_pos_control_KlannHS2g_HS2_A;chr11:94880473-94880496_chr1:234690528-234690551_chr18:9895521-9895544_chr8:91199885-91199908_pos_control_Klannchr_HS1;chr11:94880473-94880496_chr6:134260992-134261015_MPZL1_pos_control_Klannchr1_HS4;chr12:125371666-125371689_chr19:40939563-40939586_pos_control_HBE1_tss_Klann_mosaic_TXN2;chr12:131713939-131713962_chr6:106188978-106189001_pos_control_KlannHS2g_HS2_A_SRRM1;chr12:28012658-28012681_pos_control_HBE1_tss_Klann_mosaic;chr12:53758967-53758990_chr8:129188896-129188919_pos_control_HS2_Klann_mosaic;chr12:76577303-76577326_chr16:24474408-24474431_chr6:3160382-3160405_pos_control_HS2_Klann_mosaic;chr12:93637957-93637980_chr7:43789773-43789796_pos_control_HBE1_tss_Klann_mosaic_QKI;chr12:93696453-93696476_chr1:32292406-32292429_chr1:43988240-43988263_chr14:50334623-50334646_KCNH2_pos_control_KlannHS2g_HS2_A;chr12:98972605-98972628_pos_control_KlannHS2g_HS2_A_TMPO;chr14:103775475-103775498_pos_control_KlannHS2g_HS2_A;chr14:67882898-67882921_chr2:96216766-96216789_chrX:41243318-41243341_EIF2S2_JAGN1_pos_control_HBE1_tss_Klann_mosaic_random_21;chr15:45016565-45016588_chr6:34240954-34240977_CRIPT_pos_control_Klannchr1_HS3;chr15:85278107-85278130_chr6:89782653-89782676_pos_control_HBE1_tss_Klann_mosaic;chr15:85278107-85278130_pos_control_Klannchr_HS1;chr16:10594883-10594906_PCNA_pos_control_Klannchr1_HS3_PYCR2;chr16:66933384-66933407_pos_control_KlannHS2g_HS2_A;chr17:1225167-1225190_chr7:75795566-75795589_pos_control_mosaic_HB_HBE1_tss_B;chr17:46520196-46520219_chr1:85710456-85710479_FAM96B_pos_control_HBE1_tss_Klann_mosaic;chr17:46569081-46569104_pos_control_Klannchr1_HS4;chr17:78228460-78228483_chr20:30196205-30196228_FH_pos_control_HBE1_tss_Klann_mosaic_random_15;chr18:11953198-11953221_pos_control_KlannHS2g_HS2_A_RHOA;chr19:49454504-49454527_chr22:39669980-39670003_pos_control_Klannchr1_HS3;chr1:110522227-110522250_chr17:4563761-4563784_chr2:238850532-238850555_pos_control_Klannchr1_HBG1_HBG1_tss_both_PSMG1_SDHC_TOP2A;chr1:150951736-150951759_CSTB_pos_control_KlannHS2g_HS2_B_random_22;chr1:150951736-150951759_chr11:59312471-59312494_chr3:52223036-52223059_pos_control_mosaic_HB_HBE1_tss_B;chr1:156474664-156474687_chr19:2056272-2056295_chr6:43766445-43766468_chr7:106489301-106489324_chr8:102171086-102171109_chrX:47542610-47542633_pos_control_HS2_Klann_mosaic;chr1:156586170-156586193_pos_control_KlannHS2g_HS2_A;chr1:156663799-156663822_chr11:65244525-65244548_chr11:94880473-94880496_chr1:202045863-202045886_chr12:109128215-109128238_chr1:234626916-234626939_chr1:23880947-23880970_chr13:48736080-48736103_chr14:23029829-23029852_chr16:28956757-28956780_chr18:9073613-9073636_chr19:4144962-4144985_chr20:23136632-23136655_chr2:152624025-152624048_chr3:107823097-107823120_chr8:101911620-101911643_chr8:102169769-102169792_CWC15_MRPS16_pos_control_mosaic_HB_HBE1_tss_B_SAMSN1;chr1:159927604-159927627_chr1:235110514-235110537_chr17:79366671-79366694_chr6:140147106-140147129_pos_control_Klannchr1_HS3_RPL3_SRP14;chr1:173640035-173640058_chr1:235011869-235011892_chr1:68005040-68005063_chr17:46578287-46578310_chr4.1627_NMUrep_PARK7_pos_control_HS2_Klann_mosaic_random_1;chr1:192946365-192946388_pos_control_mosaic_HB_HBE1_tss_A;chr1:201449271-201449294_chr1:241997118-241997141_chr1:24246651-24246674_chr6:37071010-37071033_ELOVL5_pos_control_Klannchr1_HBG1_HBG1_tss_both;chr1:201449271-201449294_pos_control_mosaic_HB_HBE1_tss_A;chr1:201547312-201547335_chr12:110791814-110791837_FKBP2_pos_control_KlannHS2g_HS2_A;chr1:201987385-201987408_chr14:103781595-103781618_chr2:43395658-43395681_pos_control_HBE1_tss_Klann_mosaic;chr1:202074787-202074810_DDX3X_pos_control_KlannHS2g_HS2_B_RMI2;chr1:202087065-202087088_pos_control_Klannchr1_HS4;chr1:211779735-211779758_chr1:212101570-212101593_chr12:125371666-125371689_chr14:69291424-69291447_chr19:49283790-49283813_chr20:17891488-17891511_chr22:39848573-39848596_chr2:8675906-8675929_chr3:141348698-141348721_chr5:64372117-64372140_chr6:43766445-43766468_chr8:91199885-91199908_HMGB3_IER3IP1_pos_control_HBE1_tss_Klann_mosaic_RABGGTB_random_9_RWDD1_TOP1;chr1:212101570-212101593_chr12:125371666-125371689_chr14:69291424-69291447_chr19:49283790-49283813_chr20:17891488-17891511_chr2:8675906-8675929_chr3:141348698-141348721_chr5:64372117-64372140_chr6:43766445-43766468_chr8:91199885-91199908_HMGB3_IER3IP1_pos_control_HBE1_tss_Klann_mosaic_random_9_RWDD1_TOP1;chr1:227544833-227544856_chr20:49057224-49057247_chr2:43154568-43154591_NDUFC1_pos_control_HS2_Klann_mosaic_SLC25A33_TMEM99;chr1:228688592-228688615_chr14:103826813-103826836_pos_control_HS2_Klann_mosaic;chr1:233679341-233679364_GTF3A_pos_control_HBE1_tss_Klann_mosaic_SMS_TMED4;chr1:23880947-23880970_chr20:56007822-56007845_chr2:70331737-70331760_chr4:6732229-6732252_chr8:102161764-102161787_LSM14A_MRPS23_pos_control_Klannchr_HS1;chr1:26704529-26704552_pos_control_Klannchr_HS1;chr1:27400578-27400601_chr22:39848573-39848596_pos_control_Klannchr1_HBG1_HBG1_tss_both;chr1:28193624-28193647_chr7:148762270-148762293_EIF4H_pos_control_Klannchr_HS1_ST13;chr1:31545248-31545271_chr16:23741079-23741102_chr2:9892682-9892705_chr4:77864368-77864391_chr5:64396813-64396836_KRT18_MRPS16_pos_control_KlannHS2g_HS2_A;chr1:54953639-54953662_pos_control_KlannHS2g_HS2_A;chr1:85685680-85685703_chr2:228330900-228330923_chr5:64374259-64374282_chr6:119803995-119804018_LMO2_NR2F2_pos_control_Klannchr1_HBG1_HBG1_tss_both;chr1:9470840-9470863_pos_control_HBE1_tss_Klann_mosaic;chr20:23132721-23132744_pos_control_Klannchr1_HS4;chr20:30196205-30196228_chr20:809576-809599_pos_control_KlannHS2g_HS2_B;chr20:32276743-32276766_pos_control_mosaic_HB_HBE1_tss_B;chr20:40344080-40344103_chr4:38244351-38244374_pos_control_KlannHS2g_HS2_A;chr20:49100032-49100055_pos_control_mosaic_HB_HBE1_tss_A;chr22:43499951-43499974_pos_control_Klannchr1_HS3;chr2:28589203-28589226_chr6:3053600-3053623_CWC15_pos_control_HS2_Klann_mosaic_PTTG1_random_16;chr3:120341915-120341938_chr6:3209309-3209332_chr7:148762270-148762293_GPN3_NXT1_pos_control_HS2_Klann_mosaic;chr3:128564467-128564490_NARS_PNN_pos_control_HS2_Klann_mosaic;chr3:186606270-186606293_chr3:195834974-195834997_chr6:43914533-43914556_chr8:128772806-128772829_pos_control_Klannchr1_HS3;chr3:47520721-47520744_pos_control_KlannHS2g_HS2_A;chr5:61581205-61581228_pos_control_HBE1_tss_Klann_mosaic;chr6:139855225-139855248_pos_control_HBE1_tss_Klann_mosaic;chr6:37077436-37077459_pos_control_KlannHS2g_HS2_B;chr6:43670211-43670234_GTF3A_MCM3_pos_control_KlannHS2g_HS2_A;chr6:90031246-90031269_OARD1_pos_control_Klannchr1_HBG1_HBG1_tss_both;chr7:22720183-22720206_pos_control_HBE1_tss_Klann_mosaic_PSMA7;chr7:23513484-23513507_chr8:101776113-101776136_pos_control_Klannchr_HS1;chr8:37939452-37939475_pos_control_HS2_Klann_mosaic;chrX:102505860-102505883_pos_control_HBE1_tss_Klann_mosaic;chrX:65225420-65225443_pos_control_KlannHS2g_HS2_A;control;pos_control_HBE1_tss_Klann_mosaic;pos_control_HS2_Klann_mosaic;pos_control_HS2_Klann_mosaic_TFRC;pos_control_KlannHS2g_HS2_A;pos_control_KlannHS2g_HS2_B;pos_control_Klannchr1_HBG1_HBG1_tss_both;pos_control_Klannchr1_HS3;pos_control_Klannchr1_HS4;pos_control_Klannchr_HS1;pos_control_mosaic_HB_HBE1_tss_A;pos_control_mosaic_HB_HBE1_tss_B,all_gene;gene;guide_count;ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,sample;sample_directory;sample_name,GasperiniShendure2019_lowMOI,,,,GasperiniShendure2019_lowMOI.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,697,41284,10000,32738,Size_Factor;all_gene;barcode;cancer;cell_line;celltype;disease;gene;guide_count;ko_barcode_file;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;proportion;read_count;sample;sample_directory;sample_name;tissue_type;total_umis;umi_count,RNA,perturbation,322716827,unknown/local scPerturb record
,ngenes;nperts;perturbation;perturbation_2;perturbation_3;perturbation_4;perturbation_type,cancer;celltype;disease;organism;tissue_type,rows=0;present=False,batch,GehringPachter2019,,,,GehringPachter2019.h5ad,perturbation=True;control=False;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,0,20382,1,13256,batch;cancer;celltype;disease;dose_unit;dose_unit_2;dose_unit_3;dose_unit_4;dose_value;dose_value_2;dose_value_3;dose_value_4;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_2;perturbation_3;perturbation_4;perturbation_type;tissue_type,RNA,perturbation,73274146,unknown/local scPerturb record
,ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,batch,JoungZhang2023_atlas,,,external_candidate,JoungZhang2023_atlas.h5ad,perturbation=True;control=False;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,0,1145823,3369,37528,batch;cancer;cell_line;celltype;disease;louvain;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;tissue_type,RNA,perturbation,5804454475,Joung/Zhang et al. 2023
,ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;organism;tissue_type,rows=167947;present=True,batch,JoungZhang2023_combinatorial,,,external_candidate,JoungZhang2023_combinatorial.h5ad,perturbation=True;control=False;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,0,167947,57,37302,TF;batch;cancer;cell_line;celltype;disease;louvain;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;tissue_type,RNA,perturbation,834073300,Joung/Zhang et al. 2023
control,guide_id;ngenes;nperts;perturbation;perturbation_type,cancer;cellcycle_phase;celltype;disease;organism;tissue;tissue_type,rows=0;present=False,sample;time,LaraAstiasoHuntly2023_exvivo,,,,LaraAstiasoHuntly2023_exvivo.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=True;batch=True,12444,146793,43,32287,Mixscape_classification;cancer;cellcycle_phase;celltype;disease;guide_id;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;sample;time;tissue;tissue_type,RNA,perturbation,1080740763,unknown/local scPerturb record
control,guide_id;ngenes;nperts;perturbation;perturbation_type,cancer;cellcycle_phase;celltype;disease;organism;tissue;tissue_type,rows=0;present=False,sample;time,LaraAstiasoHuntly2023_invivo,,,,LaraAstiasoHuntly2023_invivo.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=True;batch=True,9096,135836,41,32287,Mixscape_classification;cancer;cellcycle_phase;celltype;disease;guide_id;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;sample;time;tissue;tissue_type,RNA,perturbation,760312556,unknown/local scPerturb record
control,guide_id;ngenes;nperts;perturbation;perturbation_type,cancer;cellcycle_phase;celltype;disease;organism;tissue;tissue_type,rows=0;present=False,sample,LaraAstiasoHuntly2023_leukemia,,,,LaraAstiasoHuntly2023_leukemia.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,7717,182949,59,32287,Mixscape_classification;cancer;cellcycle_phase;celltype;disease;guide_id;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;sample;tissue;tissue_type,RNA,perturbation,1176002572,unknown/local scPerturb record
control,guide_id;guide_sequence;ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,sample,LiangWang2023,,,,LiangWang2023.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,2459,41383,78,17444,cancer;cell_line;celltype;disease;guide_id;guide_sequence;medium;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;sample;tissue_type,RNA,perturbation,364166137,unknown/local scPerturb record
control,ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,,LotfollahiTheis2023,,,,LotfollahiTheis2023.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=False;timepoint=False;batch=False,1451,63430,32,58347,RT_well;Size_Factor;Well;cancer;cell_line;celltype;disease;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;tissue_type,RNA,perturbation,235963662,unknown/local scPerturb record
control,ngenes;nperts;perturbation;perturbation_type,cancer;cell_det_rate;cell_line;cell_quality;disease;organism;tissue_type,rows=0;present=False,time,McFarlandTsherniak2020,,,,McFarlandTsherniak2020.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=True;batch=False,29143,182875,18,32738,DepMap_ID;cancer;cell_det_rate;cell_line;cell_quality;channel;chembl-ID;disease;dose_unit;dose_value;doublet_CL1;doublet_CL2;doublet_GMM_prob;doublet_dev_imp;doublet_z_margin;hash_assignment;hash_tag;ncounts;ngenes;nperts;num_SNPs;organism;percent.mito;percent_mito;percent_ribo;perturbation;perturbation_type;sex;singlet_ID;singlet_dev;singlet_dev_z;singlet_margin;singlet_z_margin;time;tissue_type;tot_reads,RNA,perturbation,1459410830,unknown/local scPerturb record
control,gene;gene_id;gene_transcript;guide_id;ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;disease;organism;tissue_type,rows=0;present=False,batch,NadigOConner2024_hepg2,,,,NadigOConner2024_hepg2.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,4976,145473,2394,9624,UMI_count;batch;cancer;cell_line;disease;gene;gene_id;gene_transcript;guide_id;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;tissue_type;transcript;z_gemgroup_UMI,RNA,perturbation,850590740,unknown/local scPerturb record
control,gene;gene_id;gene_transcript;guide_id;ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;disease;organism;tissue_type,rows=0;present=False,batch,NadigOConner2024_jurkat,,,,NadigOConner2024_jurkat.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,12013,262956,2394,8882,UMI_count;batch;cancer;cell_line;disease;gene;gene_id;gene_transcript;guide_id;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;tissue_type;transcript;z_gemgroup_UMI,RNA,perturbation,1293665804,unknown/local scPerturb record
control,guide_id;ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;number_of_cells;organism;tissue_type,rows=0;present=False,,NormanWeissman2019_filtered,common_core,,,NormanWeissman2019_filtered.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=False;timepoint=False;batch=False,11855,111445,237,33694,UMI_count;cancer;cell_line;celltype;coverage;disease;gemgroup;good_coverage;guide_id;ncounts;ngenes;nperts;number_of_cells;organism;percent_mito;percent_ribo;perturbation;perturbation_type;read_count;tissue_type,RNA,perturbation,698680199,Norman et al. 2019
control,guide_id;ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,,PapalexiSatija2021_eccite_arrayed_protein,,,,PapalexiSatija2021_eccite_arrayed_protein.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=False;timepoint=False;batch=False,2009,8984,11,4,cancer;cell_line;celltype;disease;gdo_barcode;guide_id;hto;hto_barcode;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;tissue_type,protein/multimodal+RNA,perturbation,550922,Papalexi et al. 2021
control,guide_id;ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,,PapalexiSatija2021_eccite_arrayed_RNA,,,,PapalexiSatija2021_eccite_arrayed_RNA.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=False;timepoint=False;batch=False,2009,8984,11,16826,cancer;cell_line;celltype;disease;gdo_barcode;guide_id;hto;hto_barcode;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;tissue_type,protein/multimodal+RNA,perturbation,52339395,Papalexi et al. 2021
control,guide_id;ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,,PapalexiSatija2021_eccite_protein,,,,PapalexiSatija2021_eccite_protein.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=False;timepoint=False;batch=False,2386,20729,99,4,cancer;cell_line;celltype;disease;gdo_barcode;guide_id;hto;hto_barcode;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;tissue_type,protein/multimodal+RNA,perturbation,1191551,Papalexi et al. 2021
control,guide_id;ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,,PapalexiSatija2021_eccite_RNA,,context_expansion_candidate,,PapalexiSatija2021_eccite_RNA.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=False;timepoint=False;batch=False,2386,20729,99,18649,cancer;cell_line;celltype;disease;gdo_barcode;guide_id;hto;hto_barcode;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;tissue_type,protein/multimodal+RNA,perturbation,147215278,Papalexi et al. 2021
control,gene;gene_id;gene_transcript;guide_id;ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;disease;organism;tissue_type,rows=0;present=False,batch,ReplogleWeissman2022_K562_essential,,,,ReplogleWeissman2022_K562_essential.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,10691,310385,2058,8563,UMI_count;age;batch;cancer;cell_line;core_adjusted_UMI_count;core_scale_factor;disease;gene;gene_id;gene_transcript;guide_id;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;sex;tissue_type;transcript;z_gemgroup_UMI,RNA,perturbation,1546729675,Replogle et al. 2022
KNTC1;control,gene;gene_id;gene_transcript;guide_id;ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;disease;organism;tissue_type,rows=0;present=False,batch,ReplogleWeissman2022_K562_gwps,common_core,,,ReplogleWeissman2022_K562_gwps.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,75551,1989578,9867,8248,UMI_count;age;batch;cancer;cell_line;core_adjusted_UMI_count;core_scale_factor;disease;gene;gene_id;gene_transcript;guide_id;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;sex;tissue_type;transcript;z_gemgroup_UMI,RNA,perturbation,8805466154,Replogle et al. 2022
control,gene;gene_id;gene_transcript;guide_id;ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;organism;tissue_type,rows=0;present=False,batch,ReplogleWeissman2022_rpe1,common_core,,,ReplogleWeissman2022_rpe1.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=True,11485,247914,2394,8749,UMI_count;age;batch;cancer;cell_line;celltype;core_adjusted_UMI_count;core_scale_factor;disease;gene;gene_id;gene_transcript;guide_id;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;sex;tissue_type;transcript;z_gemgroup_UMI,RNA,perturbation,1236886900,Replogle et al. 2022
control,gRNA_read_count;gRNA_umi_count;guide_id;ngenes;nperts;perturbation;perturbation_type,cancer;cell_name;cell_types;cell_types_broad;cell_types_neuro;disease;organism;tissue;tissue_type,rows=0;present=False,,SantinhaPlatt2023,,,,SantinhaPlatt2023.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=False;timepoint=False;batch=False,2520,100134,30,30556,cancer;cell_name;cell_types;cell_types_broad;cell_types_neuro;disease;gRNA_read_count;gRNA_umi_count;guide_id;lane;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;tissue;tissue_type,RNA,perturbation,939335004,unknown/local scPerturb record
control,ngenes;nperts;perturbation;perturbation_type,cancer;celltype;disease;organism;tissue_type,rows=26496;present=True,,SchiebingerLander2019_GSE106340,,,,SchiebingerLander2019_GSE106340.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=False;timepoint=False;batch=False,12006,68339,2,27998,GSM;age;cancer;celltype;disease;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;tissue_type,RNA,perturbation,378858726,unknown/local scPerturb record
control,ngenes;nperts;perturbation;perturbation_type,cancer;celltype;disease;organism;tissue_type,rows=77967;present=True,replicate,SchiebingerLander2019_GSE115943,,,,SchiebingerLander2019_GSE115943.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=False,78970,259155,3,27998,GSM;age;cancer;celltype;disease;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;replicate;tissue_type,RNA,perturbation,1640956517,unknown/local scPerturb record
control;non-targeting_00000;non-targeting_00001;non-targeting_00002;non-targeting_00003;non-targeting_00004;non-targeting_00005;non-targeting_00006;non-targeting_00007;non-targeting_00008;non-targeting_00009;non-targeting_00010;non-targeting_00011;non-targeting_00012;non-targeting_00013;non-targeting_00014;non-targeting_00015;non-targeting_00016;non-targeting_00017;non-targeting_00018;non-targeting_00019;non-targeting_00020;non-targeting_00021;non-targeting_00022;non-targeting_00023;non-targeting_00024;non-targeting_00025;non-targeting_00026;non-targeting_00027;non-targeting_00028;non-targeting_00029,ngenes;nperts;perturbation;perturbation_type,cancer;cell_line;celltype;disease;organism;tissue_type,rows=48837;present=True,replicate,SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_11_screen,,,,SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_11_screen.h5ad,perturbation=True;control=True;cell_context=True;modality=True;condition=True;timepoint=False;batch=False,7794,120310,3105,3185,cancer;cell_line;celltype;disease;ncounts;ngenes;nperts;organism;percent_mito;percent_ribo;perturbation;perturbation_type;replicate;tissue_type,RNA,perturbation,21815981,unknown/local scPerturb record
